time,unix,hex,rat,channel,msg,summary,len
"2026-07-29 16:56:36",1.785333396923E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=2850 PCI=2",36
"2026-07-29 16:56:36",1.785333396923E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=200 PCI=7",36
"2026-07-29 16:56:36",1.785333396923E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:36",1.785333396923E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=466 earfcn=200 sfn=8101 tac=0x1E94 cid=0xBE8EF65 band=1 plmn=250-02,250-11",26
"2026-07-29 16:56:36",1.785333396923E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=200 PCI=7 RSRP=-90 RSRQ=0 RSSI=-85",40
"2026-07-29 16:56:36",1.785333396923E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=200 PCI=5",36
"2026-07-29 16:56:36",1.785333396923E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:36",1.785333396923E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=224 earfcn=200 sfn=24645 tac=0x1E94 cid=0xBE8EF66 band=1 plmn=250-02,250-11",26
"2026-07-29 16:56:36",1.785333396923E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=200 PCI=5 RSRP=-94 RSRQ=0 RSSI=-85",40
"2026-07-29 16:56:36",1.785333396923E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=200 PCI=0",36
"2026-07-29 16:56:36",1.785333396923E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=100 PCI=133",36
"2026-07-29 16:56:36",1.785333396923E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:36",1.785333396923E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=174 earfcn=100 sfn=2181 tac=0x4D07 cid=0xBF2E935 band=1 plmn=250-20",22
"2026-07-29 16:56:36",1.785333396923E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=100 PCI=133 RSRP=-89 RSRQ=0 RSSI=-87",40
"2026-07-29 16:56:36",1.785333396923E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=100 PCI=132",36
"2026-07-29 16:56:36",1.785333396923E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:36",1.785333396923E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=18 earfcn=100 sfn=28325 tac=0x4E3D cid=0xBEBF834 band=1 plmn=250-20",22
"2026-07-29 16:56:36",1.785333396923E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=100 PCI=132 RSRP=-99 RSRQ=0 RSSI=-91",40
"2026-07-29 16:56:36",1.785333396923E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6413 PCI=133",36
"2026-07-29 16:56:36",1.785333396923E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:36",1.785333396923E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=141 earfcn=6413 sfn=62757 tac=0x0D96 cid=0xBEBE801 band=20 plmn=250-99",22
"2026-07-29 16:56:36",1.785333396923E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=6413 PCI=133 RSRP=-85 RSRQ=0 RSSI=-87",40
"2026-07-29 16:56:36",1.785333396923E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6413 PCI=0",36
"2026-07-29 16:56:36",1.785333396923E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6413 PCI=135",36
"2026-07-29 16:56:36",1.785333396923E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6413 PCI=2",36
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6350 PCI=132",36
"2026-07-29 16:56:38",1.785333398463E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:38",1.785333398463E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=83 earfcn=6350 sfn=10565 tac=0x1E94 cid=0xC0A590D band=20 plmn=250-02,250-11",26
"2026-07-29 16:56:38",1.785333398463E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=6350 PCI=132 RSRP=-102 RSRQ=0 RSSI=-95",40
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6350 PCI=132",36
"2026-07-29 16:56:38",1.785333398463E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:38",1.785333398463E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=82 earfcn=6350 sfn=27109 tac=0x1E94 cid=0xC0A590B band=20 plmn=250-02,250-11",26
"2026-07-29 16:56:38",1.785333398463E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=6350 PCI=132 RSRP=-110 RSRQ=0 RSSI=-95",40
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6350 PCI=134",36
"2026-07-29 16:56:38",1.785333398463E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6350 PCI=134",36
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6350 PCI=1",36
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6350 PCI=132",36
"2026-07-29 16:56:38",1.785333398463E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6350 PCI=1",36
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6350 PCI=0",36
"2026-07-29 16:56:38",1.785333398463E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=38750 PCI=132",36
"2026-07-29 16:56:38",1.785333398463E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:38",1.785333398463E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=113 earfcn=38750 sfn=48325 tac=0x4E3D cid=0xBF7B020 band=40 plmn=250-20",22
"2026-07-29 16:56:38",1.785333398463E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=38750 PCI=132 RSRP=-112 RSRQ=0 RSSI=-91",40
"2026-07-29 16:56:39",1.785333399991E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:39",1.785333399991E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=120 earfcn=38750 sfn=64869 tac=0x4E3D cid=0xBF7B021 band=40 plmn=250-20",22
"2026-07-29 16:56:39",1.785333399991E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=38750 PCI=132 RSRP=-112 RSRQ=0 RSSI=-91",40
"2026-07-29 16:56:39",1.785333399991E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=38750 PCI=0",36
"2026-07-29 16:56:39",1.785333399991E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=38750 PCI=3",36
"2026-07-29 16:56:39",1.785333399991E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=6200 PCI=132",36
"2026-07-29 16:56:39",1.785333399991E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:39",1.785333399991E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=3 earfcn=6200 sfn=7205 tac=0x4D07 cid=0xBF2E953 band=20 plmn=250-20",22
"2026-07-29 16:56:39",1.785333399991E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=6200 PCI=132 RSRP=-75 RSRQ=0 RSSI=-77",40
"2026-07-29 16:56:39",1.785333399991E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=1275 PCI=133",36
"2026-07-29 16:56:39",1.785333399991E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:39",1.785333399991E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=174 earfcn=1275 sfn=7429 tac=0x4D07 cid=0xBF2E90D band=3 plmn=250-20",22
"2026-07-29 16:56:39",1.785333399991E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=1275 PCI=133 RSRP=-72 RSRQ=0 RSSI=-79",40
"2026-07-29 16:56:39",1.785333399991E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=1275 PCI=133",36
"2026-07-29 16:56:39",1.785333399991E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:39",1.785333399991E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=1275 PCI=0",36
"2026-07-29 16:56:39",1.785333399991E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=3200 PCI=133",36
"2026-07-29 16:56:39",1.785333399991E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:39",1.785333399991E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=130 earfcn=3200 sfn=50789 tac=0x458E cid=0x316DF02 band=7 plmn=250-01",18
"2026-07-29 16:56:39",1.785333399991E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=3200 PCI=133 RSRP=-82 RSRQ=0 RSSI=-82",40
"2026-07-29 16:56:41",1.78533340152E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=3200 PCI=2",36
"2026-07-29 16:56:41",1.78533340152E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=3638 PCI=133",36
"2026-07-29 16:56:41",1.78533340152E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:41",1.78533340152E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=173 earfcn=3638 sfn=34885 tac=0x458E cid=0x316DF1C band=8 plmn=250-01",18
"2026-07-29 16:56:41",1.78533340152E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=3638 PCI=133 RSRP=-73 RSRQ=0 RSSI=-78",40
"2026-07-29 16:56:41",1.78533340152E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=1596 PCI=133",36
"2026-07-29 16:56:41",1.78533340152E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
"2026-07-29 16:56:41",1.78533340152E9,0xB0C0,LTE_RRC,"BCCH-DL-SCH","SIB1","pdu=3 pci=157 earfcn=1596 sfn=15589 tac=0x1E94 cid=0xBE8EFC9 band=3 plmn=250-02,250-11",26
"2026-07-29 16:56:41",1.78533340152E9,0xB17F,LTE,"ML1 SCell Meas/Eval","ML1 SCell Meas/Eval","EARFCN=1596 PCI=133 RSRP=-80 RSRQ=0 RSSI=-81",40
"2026-07-29 16:56:41",1.78533340152E9,0xB197,LTE,"ML1 SCell Info","ML1 SCell Info","EARFCN=1596 PCI=134",36
"2026-07-29 16:56:41",1.78533340152E9,0xB0C1,LTE_RRC,"","LTE RRC MIB","",11
