sep=,
rat,arfcn,band,pci,bsic,ncc,bcc,mcc,mnc,lac,cid,signal_dbm,rsrq,c1,c2,serving,seen,first_seen,last_seen,lat,lon
LTE,6413,B20,133,,,,,,,,-83,,,,1,1188134,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,100,B1,133,,,,,,,,-90,,,,1,1189618,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,200,B1,7,,,,,,,,-95,,,,1,1191473,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,200,B1,5,,,,,,,,-94,,,,1,1190731,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,100,B1,132,,,,,,,,-100,,,,1,1188876,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,6350,B20,132,,,,,,,,-112,,,,1,1185908,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,6350,B20,82,,,,250,2,7828,202004747,,,,,0,1185166,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,6350,B20,83,,,,250,2,7828,202004749,,,,,0,1185908,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,200,B1,466,,,,250,2,7828,199815013,,,,,0,1191473,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,100,B1,18,,,,250,20,20029,200013876,,,,,1,1188877,2026-07-29 16:56:37,2026-07-29 17:28:14,,
LTE,6413,B20,141,,,,250,99,3478,200009729,-82,-9,,,1,1188135,2026-07-29 16:56:37,2026-07-29 17:16:55,,
LTE,100,B1,174,,,,250,20,19719,200468789,,,,,0,1189621,2026-07-29 16:56:37,2026-07-29 17:08:13,,
LTE,200,B1,224,,,,250,2,7828,199815014,,,,,0,1190732,2026-07-29 16:56:37,2026-07-29 17:04:43,,
LTE,1275,B3,133,,,,,,,,-82,,,,1,1179243,2026-07-29 16:56:39,2026-07-29 17:28:14,,
LTE,6200,B20,132,,,,,,,,-75,,,,1,1179983,2026-07-29 16:56:39,2026-07-29 17:28:14,,
LTE,38750,B40,132,,,,,,,,-112,,,,1,1182203,2026-07-29 16:56:39,2026-07-29 17:28:14,,
LTE,38750,B40,120,,,,250,20,20029,200781857,-107,-10,,,1,1181469,2026-07-29 16:56:39,2026-07-29 17:15:28,,
LTE,38750,B40,113,,,,250,20,20029,200781856,-108,-11,,,0,1182208,2026-07-29 16:56:39,2026-07-29 17:15:28,,
LTE,6200,B20,3,,,,250,20,19719,200468819,-72,-8,,,1,1179987,2026-07-29 16:56:39,2026-07-29 17:15:21,,
LTE,1275,B3,174,,,,250,20,19719,200468749,-74,-10,,,1,1179247,2026-07-29 16:56:39,2026-07-29 17:15:34,,
LTE,3638,B8,133,,,,,,,,-70,-16,,,1,1176290,2026-07-29 16:56:41,2026-07-29 17:28:14,,
LTE,6275,B20,134,,,,,,,,-76,,,,1,1172600,2026-07-29 16:56:41,2026-07-29 17:28:14,,
LTE,1596,B3,133,,,,,,,,-85,,,,1,1175552,2026-07-29 16:56:41,2026-07-29 17:28:14,,
LTE,3200,B7,133,,,,,,,,-73,,,,1,1177766,2026-07-29 16:56:41,2026-07-29 17:28:14,,
LTE,1596,B3,135,,,,,,,,-89,,,,1,1174076,2026-07-29 16:56:41,2026-07-29 17:28:14,,
LTE,1596,B3,134,,,,,,,,-93,,,,1,1174814,2026-07-29 16:56:41,2026-07-29 17:28:14,,
LTE,6275,B20,278,,,,250,1,17806,51830536,-73,-8,,,1,1172604,2026-07-29 16:56:41,2026-07-29 17:11:26,,
LTE,1596,B3,447,,,,250,2,7828,201368779,,,,,0,1174076,2026-07-29 16:56:41,2026-07-29 17:28:14,,
LTE,3200,B7,130,,,,250,1,17806,51830530,-80,-12,,,1,1177777,2026-07-29 16:56:41,2026-07-29 17:11:26,,
LTE,3638,B8,173,,,,250,1,17806,51830556,-73,-9,,,1,1176304,2026-07-29 16:56:41,2026-07-29 17:19:52,,
LTE,1596,B3,157,,,,250,2,7828,199815113,,,,,0,1175553,2026-07-29 16:56:41,2026-07-29 17:28:14,,
LTE,1596,B3,275,,,,250,2,7828,199815114,,,,,0,1174814,2026-07-29 16:56:41,2026-07-29 17:28:14,,
LTE,3400,B7,135,,,,,,,,-81,,,,1,1169286,2026-07-29 16:56:43,2026-07-29 17:28:14,,
LTE,38100,B38,135,,,,,,,,-88,,,,1,1171494,2026-07-29 16:56:43,2026-07-29 17:28:14,,
LTE,3400,B7,468,,,,250,20,19719,200468759,-79,-10,,,1,1169289,2026-07-29 16:56:43,2026-07-29 17:15:28,,
LTE,38100,B38,455,,,,250,1,17806,51830550,-87,-11,,,1,1171500,2026-07-29 16:56:43,2026-07-29 17:16:49,,
LTE,38100,B38,391,,,,250,1,17806,51830549,-91,-11,,,0,1170763,2026-07-29 16:56:43,2026-07-29 17:12:12,,
LTE,1721,B3,132,,,,,,,,-68,,,,1,1162311,2026-07-29 16:56:45,2026-07-29 17:28:14,,
LTE,1820,B3,133,,,,,,,,-86,,,,1,1158274,2026-07-29 16:56:45,2026-07-29 17:28:14,,
